text|source|chunk_id
"4 2 0 2

p e S 3

] L C . s c [

1 v 6 6 6 1 0 . 9 0 4 2 : v i X r a

In Defense of RAG in the Era of Long-Context Language Models

Tan Yu NVIDIA Santa Clara, California United States tayu@nvidia.com

Anbang Xu NVIDIA Santa Clara, California United States anbangx@nvidia.com

Rama Akkiraju NVIDIA Santa Clara, California United States rakkiraju@nvidia.com

Abstract"|research_papers\In_Defense_of_RAG_in_the_Era_of_Long-Context_Langu.pdf|7adca79ea6d44ebfae0e335304a146c0
"Rama Akkiraju NVIDIA Santa Clara, California United States rakkiraju@nvidia.com

Abstract

Overcoming the limited context limitations in early-generation LLMs, retrieval-augmented generation (RAG) has been a reliable solution for context-based answer generation in the past. Recently, the emergence of long-context LLMs allows the models to incorporate much longer text sequences, making RAG less attractive. Recent studies show that long-context LLMs significantly outperform RAG in long-context applications. Unlike the existing works favor- ing the long-context LLM over RAG, we ar- gue that the extremely long context in LLMs suffers from a diminished focus on relevant in- formation and leads to potential degradation in answer quality. This paper revisits the RAG in long-context answer generation. We propose an order-preserve retrieval-augmented genera- tion (OP-RAG) mechanism, which significantly improves the performance of RAG for long- context question-answer applications. With OP-RAG, as the number of retrieved chunks increases, the answer quality initially rises, and then declines, forming an inverted U-shaped curve. There exist sweet points where OP-RAG could achieve higher answer quality with much less tokens than long-context LLM taking the whole context as input. Extensive experiments on public benchmark demonstrate the superior- ity of our OP-RAG.

(a) F1 score.

(b) Input token count."|research_papers\In_Defense_of_RAG_in_the_Era_of_Long-Context_Langu.pdf|68b6b96918d344d2999444f52ed8c5c3
"(a) F1 score.

(b) Input token count.

Figure 1: Comparisons between the proposed order- preserve retrieval-augmented generation (OP-RAG) and approaches using long-context LLMs without RAG on En.QA dataset of ∞Bench. Our OP-RAG uses Llama3.1-70B as generator, which significantly outper- forms its counterpart using Llama3.1-70B without RAG.

1

Introduction

Due to the limited context window length (eg, 4096) of early-generation large language models (LLMs), retrieval augmented generation (RAG) (Guu et al., 2020; Lewis et al., 2020) is an indispensable choice to handle a large-scale context corpus. Since the answer quality is heavily depen- dent on the performance of the retrieval model, a lot of efforts are devoted to improving the retrieval recall/precision when designing the RAG system. Recently, the state-of-art LLMs support much longer context windows. For example, GPT- 4O (OpenAI, 2023), Claudi-3.5 (Anthropic, 2024),

Llama3.1 (Meta, 2024b), Phi-3 (Abdin et al., 2024), and Mistral-Large2 (AI, 2024) all support 128-K context. Gemini-1.5-pro even supports a 1M con- text window. The recent emergence of long-context LLMs naturally leads to the question: is RAG nec- essary in the age of long-context LLMs? Li et al. (2024) recently systematically compares RAG with long-context (LC) LLMs (w/o RAG) and demon- strates that LC LLMs consistently outperform RAG in terms of answer quality."|research_papers\In_Defense_of_RAG_in_the_Era_of_Long-Context_Langu.pdf|ec3e40cb466a4a26961aedfc7aed03a3
"In this work, we re-examine the effectiveness of RAG in long-context answer generation. We observe that the order of retrieved chunks in the

context of LLM is vital for the answer quality. Dif- ferent from traditional RAG which places the re- trieved chunks in a relevance-descending order, we propose to preserve the order of retrieved chunks in the original text. Our experiments show that the proposed order-preserving mechanism significantly improves the answer quality of RAG."|research_papers\In_Defense_of_RAG_in_the_Era_of_Long-Context_Langu.pdf|65258eb7f65c4a319617dff45f514916
Meanwhile, using the proposed order-preserve RAG, as the number of retrieved chunks increases, the answer quality initially rises and then declines. This is because, with more retrieved chunks, the model has access to more potentially relevant in- formation, which improves the chances of retriev- ing the correct context needed to generate a high- quality answer. However, as more chunks are re- trieved, the likelihood of introducing irrelevant or distracting information also increases. This excess information can confuse the model, leading to a decline in answer quality. The trade-off, therefore, is between improving recall by retrieving more context and maintaining precision by limiting dis- tractions. The optimal point is where the balance between relevant and irrelevant information maxi- mizes the quality of the answer. Beyond this point, the introduction of too much irrelevant information degrades the model’s performance. It explains the inferior performance of the approach taking the whole long context as the input of LLM.|research_papers\In_Defense_of_RAG_in_the_Era_of_Long-Context_Langu.pdf|f001661ed65a416dadfdb6906837b6e8
"Different from the conclusion from Li et al. (2024), with the proposed order-preserving mech- anism, RAG achieves higher answer quality com- pared with its counterparts that rely solely on Long- Context LLMs. As shown in Figure 4a, On En.QA dataset of ∞Bench (Zhang et al., 2024), using only 16K retrieved tokens, we achieve 44.43 F1 score with Llama3.1-70B. In contrast, without RAG, Llama3.1-70B making full use of 128K context only achieves 34.32 F1 score, GPT-4O achieves only 32.36 F1 score and Gemini-1.5-Pro obtains only 43.08 F1 score as evaluated by Li et al. (2024). That is, RAG could achieve a higher F1 score even with a significant reduction on input length.

2 Related Work

Retrieval-augmented generation. By incorporat- ing the external knowledge as context, retrieval- augmented generation (RAG) (Guu et al., 2020; Lewis et al., 2020; Mialon et al., 2023) allows lan- guage model to access up-to-date and specific in- formation, reducing hallucinations and improving factual accuracy. Before the era of long-context

Figure 2: Vanilla RAG versus the proposed order- preserve the RAG. As shown in the example, a long document is cropped into 13 chunks, {ci}13 i=1. The sim- ilarity score is appended to each chunk. We retrieve top 4 chunks with the highest similarity scores. Vanilla RAG places the chunks in a score-descending order, whereas the proposed order-preserve RAG places the chunks based on the order in the original document."|research_papers\In_Defense_of_RAG_in_the_Era_of_Long-Context_Langu.pdf|94d7854cb04a403e8d861b08995e18b5
"LLMs, RAG is a promising solution to overcoming the limitation of short context window. Long-context LLM. To support the long sequence of language models, many efforts have been de- voted to improving the computing efficiency of self-attention (Choromanski et al., 2020; Zaheer et al., 2020; Tay et al., 2020; Dao et al., 2022; Dao, 2024) and boosting extensibility of positional en- coding (Press et al., 2021; Sun et al., 2022; Chen et al., 2023). Recently, the flagship LLMs such as GPT-4O (OpenAI, 2023), Gemini-1.5-Pro (Reid et al., 2024), Claudi-3.5 (Anthropic, 2024), Grok- 2 (xAI, 2024), and Llama3.1 (Meta, 2024a) have supported extremely large context. With the ex- istence of long-context LLMs, RAG is no longer a indispensable module for long-context question- answering task. Recently, Li et al. (2024) con- cludes that using long-context without RAG could significantly outperforms RAG. Different from the conclusion from (Li et al., 2024), in this work, we demonstrate the proposed order-preserve RAG could beat the long-context LLMs without RAG.

3 Order-Preserve RAG"|research_papers\In_Defense_of_RAG_in_the_Era_of_Long-Context_Langu.pdf|c9d4542f4ba948a9a8cf6f268cbc2b32
"3 Order-Preserve RAG

Let us denote the long textual context, e.g., a long document, by d. We split d into N chunks sequen- tially and uniformly, {ci}N i=1. The index i implies the sequential order of the chunk ci in d. That is, ci−1 denotes the chunk before ci whereas ci+1 de- notes the chunk right after ci. Given a query q, we obtain the relevance score of the chunk ci by com- puting cosine similarity between the embedding of q and that of ci:

si = cos(emb(q), emb(ci)),

(1)

(a) EN.QA

(b) EN.MC

Figure 3: The influence of context length on the performance of RAG. The evaluations are conducted on En.QA and EN.MC datasets of ∞Bench.

where cos(·, ·) denotes the cosine similarity func- tion and emb(·) denotes the embedding function. We retrieve the top k chunks with the highest similarity scores with the query and denote the in- dices of top k chunks by J = {ji}k i=1. We preserve the order of chunks in the original long context d, that is, we constrain

theless, the average context length of LongBench is below 20K words, which is not long enough to evaluate the recent long-context LLMs supporting 128K-token window size.

4.2

Implementation details.

jl > jm ⇐⇒ l > m.

(2)

We set the chunk size as 128 tokens on all datasets. Chunks are non-overlapped. We use BGE-large-en- v1.5 (Xiao et al., 2023) to extract the embedding of queries and chunks, by default."|research_papers\In_Defense_of_RAG_in_the_Era_of_Long-Context_Langu.pdf|70960154cecc4e90abafa2195fda03cb
"Figure 2 visualizes the difference between the vanilla RAG and the proposed order-preserve RAG. Different from vanilla RAG placing the chunks in the order of similarity descending, the proposed order-preserve RAG keep the order of chunks in the original document.

4 Experiments

4.1 Datasets.

We conduct experiments on EN.QA and EN.MC datasets of ∞Bench (Zhang et al., 2024) bench- mark, specially designed for long-context QA eval- uation. To be specific, En.QA consists of 351 human-annotated question-answer pairs. On av- erage, the long context in En.QA contains 150,374 words. We use F1-score as metric for evaluation on En.QA. EN.MC consists of 224 question-answer pairs, which are annotated similarly to En.QA, but each question is provided with four answer choices. On average, the long context in En.MC contains 142,622 words. We use accuracy as metric for eval- uation on En.QA. We notice there is another bench- mark termed LongBench (Bai et al., 2023). Never-

4.3 Ablation Study"|research_papers\In_Defense_of_RAG_in_the_Era_of_Long-Context_Langu.pdf|713863e668054c9484444f658b6185b1
"4.3 Ablation Study

The influence of context length. We evaluate the influence of the context length on the perfor- mance of the proposed order-preserve RAG. Since each chunk contains 128 tokens, the context length is 128m, where m is the number of the retrieved chunks as the context for generating the answer. As shown in Figure 3, as the context length increases, the performance initially increases. This is because more context might have a greater chance of cover- ing the relevant chunk. Nevertheless, as the context length further increases, the answer quality drops since more irrelevant chunks are used as distrac- tions. To be specific, Llama3.1-8B model achieves the performance peak when the context length is 16K on both EN.QA dataset and EN.MC dataset, whereas the best performance of Llama3.1-70B model is achieved at 48K on EN.QA and 32K on EN.MC. The fact that the peak point of Llama3.1- 70B comes later than Llama3.1-8B model might be because the larger-scale model has a stronger capability to distinguish the relevant chunks from

(a) EN.QA

(b) EN.MC

Figure 4: Comparisons between the proposed order-preserve RAG and vanilla RAG. The evaluations are conducted on En.QA and EN.MC datasets of ∞Bench, using Llama3.1-70B model."|research_papers\In_Defense_of_RAG_in_the_Era_of_Long-Context_Langu.pdf|2502b35e32fe4f3cbc0ec601447077e4
"irrelevant distractions. Order-preserve RAG versus vanilla RAG. As shown in Figure 4, when the number of retrieved chunks are small (e.g, 8), the advantage of the pro- posed order-preserve RAG over vanilla RAG is not considerably. In contrast, when the number of re- trieved chunks is large, our order-preserve RAG significantly outperforms vanilla RAG. To be spe- cific, on EN.QA dataset, when the number of re- trieved chunk is 128, vanilla RAG only achieves 38.40 F1-score whereas our order-preserve RAG achieves 44.43 F1-score. On EN.MC dataset, re- trieving 192 chunks, vanialla RAG only achieves 81.22 accuracy whereas our order-preserve RAG obtains 88.65 accuracy.

Method

EN.QA

F1 Score

Tokens Acc.

EN.MC

Tokens

Long-context LLM w/o RAG

Llama3.1-70B GPT-4O Gemini-1.5-Pro

34.26 32.36 43.08

117K 117K 196K

71.62 78.42 85.57

117K 117K 188K

SELF-ROUTE (Li et al., 2024)

GPT-4O Gemini-1.5-Pro

34.95 37.51

85K 83K

77.29 76.86

62K 62K

Llama3.1-70B order-preserve RAG (ours)

OP-RAG-16K OP-RAG-24K OP-RAG-48K

44.43 45.45 47.25

16K 24K 48K

84.72 88.65 85.59

16K 24K 48K

Table 1: Comparisons among the long-context LLM without RAG, SELF-ROUTE mechanism (Li et al., 2024) and the proposed order-preserve (OP) RAG.

4.4 Main Results"|research_papers\In_Defense_of_RAG_in_the_Era_of_Long-Context_Langu.pdf|462d5b3914c84116a8f495f6b3f12ee8
"4.4 Main Results

We compare the proposed order-preserve RAG with two types of baselines. The first category of ap- proaches uses the long-context LLM without RAG. As shown in Table 1, without RAG, LLM takes a huge number of tokens as input, which is inefficient and costly. In contrast, the proposed order-preserve RAG not only significantly reduces the number of tokens, but also significantly improves the answer quality. For instance, using Llama3.1-70B model, the approach without RAG only achieves a 34.26 F1 score on EN.QA with an average of 117K to- kens as input. In contrast, our OP-RAG with 48K tokens as input attains a 47.25 F1 score. The sec- ond category of baselines takes the SELF-ROUTE mechanism (Li et al., 2024), which routes queries to RAG or long-context LLM based on the model self-reflection. As shown in Table 1, ours signifi-

cantly outperforms than using much fewer tokens in the input of LLMs.

5 Conclusion"|research_papers\In_Defense_of_RAG_in_the_Era_of_Long-Context_Langu.pdf|5873307daa0847c6941885df12ffb09e
"cantly outperforms than using much fewer tokens in the input of LLMs.

5 Conclusion

In this paper, we have revisited the role of retrieval- augmented generation (RAG) in the era of long- context language models (LLMs). While recent trends have favored long-context LLMs over RAG for their ability to incorporate extensive text se- quences, our research challenges this perspective. We argue that extremely long contexts in LLMs can lead to a diminished focus on relevant infor- mation, potentially degrading answer quality in question-answering tasks. To address this issue, we proposed the order-preserve retrieval-augmented generation (OP-RAG) mechanism. Our extensive experiments on public benchmarks have demon- strated that OP-RAG significantly improves the

performance of RAG for long-context question- answer applications. OP-RAG’s superior perfor- mance suggests that efficient retrieval and focused context utilization can outperform the brute-force approach of processing extremely long contexts.

References

Marah Abdin, Sam Ade Jacobs, Ammar Ahmad Awan, Jyoti Aneja, Ahmed Awadallah, Hany Awadalla, Nguyen Bach, Amit Bahree, Arash Bakhtiari, Harki- rat Behl, et al. 2024. Phi-3 technical report: A highly capable language model locally on your phone. arXiv preprint arXiv:2404.14219.

Mistral AI. 2024. Mistral large 2.

Anthropic. 2024. Claude 3.5 sonnet."|research_papers\In_Defense_of_RAG_in_the_Era_of_Long-Context_Langu.pdf|c60dd0da1444478d8dbe32ed3aba244e
"Mistral AI. 2024. Mistral large 2.

Anthropic. 2024. Claude 3.5 sonnet.

Yushi Bai, Xin Lv, Jiajie Zhang, Hongchang Lyu, Jiankai Tang, Zhidian Huang, Zhengxiao Du, Xiao Liu, Aohan Zeng, Lei Hou, Yuxiao Dong, Jie Tang, and Juanzi Li. 2023. Longbench: A bilingual, mul- titask benchmark for long context understanding. arXiv preprint arXiv:2308.14508.

Shouyuan Chen, Sherman Wong, Liangjian Chen, and Yuandong Tian. 2023. Extending context window of large language models via positional interpolation. arXiv preprint arXiv:2306.15595.

Krzysztof Choromanski, Valerii Likhosherstov, David Dohan, Xingyou Song, Andreea Gane, Tamas Sar- los, Peter Hawkins, Jared Davis, Afroz Mohiuddin, Lukasz Kaiser, et al. 2020. Rethinking attention with performers. arXiv preprint arXiv:2009.14794.

Tri Dao. 2024. FlashAttention-2: Faster attention with better parallelism and work partitioning. In Inter- national Conference on Learning Representations (ICLR).

Tri Dao, Daniel Y. Fu, Stefano Ermon, Atri Rudra, and Christopher Ré. 2022. FlashAttention: Fast and memory-efficient exact attention with IO-awareness. In Advances in Neural Information Processing Sys- tems (NeurIPS).

Kelvin Guu, Kenton Lee, Zora Tung, Panupong Pasu- pat, and Mingwei Chang. 2020. Retrieval augmented language model pre-training. In International confer- ence on machine learning, pages 3929–3938. PMLR."|research_papers\In_Defense_of_RAG_in_the_Era_of_Long-Context_Langu.pdf|3627ba013f564a29a26ee528d99aa17b
"Patrick Lewis, Ethan Perez, Aleksandra Piktus, Fabio Petroni, Vladimir Karpukhin, Naman Goyal, Hein- rich Küttler, Mike Lewis, Wen-tau Yih, Tim Rock- täschel, et al. 2020. Retrieval-augmented generation for knowledge-intensive nlp tasks. Advances in Neu- ral Information Processing Systems, 33:9459–9474.

Zhuowan Li, Cheng Li, Mingyang Zhang, Qiaozhu Mei, and Michael Bendersky. 2024. Retrieval aug- mented generation or long-context llms? a compre- hensive study and hybrid approach. arXiv preprint arXiv:2407.16833.

Meta. 2024a. Introducing llama 3.1: Our most capable

models to date.

Meta. 2024b. Llama 3.1 models.

Grégoire Mialon, Roberto Dessì, Maria Lomeli, Christo- foros Nalmpantis, Ram Pasunuru, Roberta Raileanu, Baptiste Rozière, Timo Schick, Jane Dwivedi-Yu, Asli Celikyilmaz, et al. 2023. Augmented language models: a survey. arXiv preprint arXiv:2302.07842.

OpenAI. 2023. GPT-4 technical report.

ArXiv,

2303:08774.

Ofir Press, Noah A Smith, and Mike Lewis. 2021. Train short, test long: Attention with linear biases enables input length extrapolation. arXiv preprint arXiv:2108.12409.

Machel Reid, Nikolay Savinov, Denis Teplyashin, Dmitry Lepikhin, Timothy Lillicrap, Jean-baptiste Alayrac, Radu Soricut, Angeliki Lazaridou, Orhan Fi- rat, Julian Schrittwieser, et al. 2024. Gemini 1.5: Un- locking multimodal understanding across millions of tokens of context. arXiv preprint arXiv:2403.05530."|research_papers\In_Defense_of_RAG_in_the_Era_of_Long-Context_Langu.pdf|90d55621bf03448fbb02c8a8e7d6875a
"Yutao Sun, Li Dong, Barun Patra, Shuming Ma, Shao- han Huang, Alon Benhaim, Vishrav Chaudhary, Xia Song, and Furu Wei. 2022. A length-extrapolatable transformer. arXiv preprint arXiv:2212.10554.

Yi Tay, Mostafa Dehghani, Dara Bahri, and Donald Met- zler. 2020. Efficient transformers: A survey.(2020). arXiv preprint cs.LG/2009.06732.

xAI. 2024. Grok-2 beta release.

Shitao Xiao, Zheng Liu, Peitian Zhang, and Niklas Muennighoff. 2023. C-pack: Packaged resources to advance general chinese embedding. Preprint, arXiv:2309.07597.

Manzil Zaheer, Guru Guruganesh, Kumar Avinava Dubey, Joshua Ainslie, Chris Alberti, Santiago On- tanon, Philip Pham, Anirudh Ravula, Qifan Wang, Li Yang, et al. 2020. Big bird: Transformers for longer sequences. Advances in neural information processing systems, 33:17283–17297.

Xinrong Zhang, Yingfa Chen, Shengding Hu, Zi- hang Xu, Junhao Chen, Moo Khai Hao, Xu Han, Zhen Leng Thai, Shuo Wang, Zhiyuan Liu, and Maosong Sun. 2024. ∞bench: Extending long context evaluation beyond 100k tokens. Preprint, arXiv:2402.13718."|research_papers\In_Defense_of_RAG_in_the_Era_of_Long-Context_Langu.pdf|3294a142096e4218993635fd20dddc78
"4 2 0 2

l u J

6 2

] L C . s c [

1 v 9 5 0 1 2 . 7 0 4 2 : v i X r a

Modular RAG: Transforming RAG Systems into LEGO-like Reconfigurable Frameworks

Yunfan Gao, Yun Xiong, Meng Wang, Haofen Wang"|research_papers\Modular_RAG_Transforming_RAG_Systems_into_LEGO-lik.pdf|65ec11a08443407cbb8f4821a026050f
"Yunfan Gao, Yun Xiong, Meng Wang, Haofen Wang

has markedly enhanced the capabilities of Large Language Models (LLMs) in tackling knowledge-intensive tasks. The increasing demands of application scenarios have driven the evolution of RAG, leading to the integration of advanced retrievers, LLMs and other complementary technologies, which in turn has amplified the intricacy of RAG systems. However, the rapid advancements are outpacing the foundational RAG paradigm, with many methods struggling to be unified under the process of “retrieve-then-generate”. In this context, this paper examines the limitations of the existing RAG paradigm and introduces the modular RAG framework. By decomposing complex RAG systems into independent modules and specialized operators, it facilitates a highly reconfigurable framework. Modular RAG transcends the traditional linear architecture, embracing a more advanced design that integrates routing, scheduling, and fusion mechanisms. Drawing on extensive research, this paper further identifies prevalent RAG patterns—linear, conditional, branching, and looping—and offers a comprehensive analysis their respective implementation nuances. Modular RAG of for the conceptualization presents and deployment of RAG systems. Finally, the paper explores the potential emergence of new operators and paradigms, establishing a solid theoretical foundation and a practical roadmap for the continued evolution and practical deployment of RAG technologies."|research_papers\Modular_RAG_Transforming_RAG_Systems_into_LEGO-lik.pdf|2e1c025970e64c9d9d6cdfc29f885765
"Abstract—Retrieval-augmented Generation

(RAG)

innovative opportunities

Index Terms—Retrieval-augmented generation, large language

model, modular system, information retrieval

limitations of Naive RAG have become increasingly apparent. As depicted in Figure 1, it predominantly hinges on the straightforward similarity of chunks, result in poor perfor- mance when confronted with complex queries and chunks with substantial variability. The primary challenges of Naive RAG include: 1) Shallow Understanding of Queries. The semantic similarity between a query and document chunk is not always highly consistent. Relying solely on similarity calculations for retrieval lacks an in-depth exploration of the relationship between the query and the document [8]. 2) Retrieval Re- dundancy and Noise. Feeding all retrieved chunks directly into LLMs is not always beneficial. Research indicates that an excess of redundant and noisy information may interfere thereby with the LLM’s identification of key information, increasing the risk of generating erroneous and hallucinated responses. [9]"|research_papers\Modular_RAG_Transforming_RAG_Systems_into_LEGO-lik.pdf|3602e94d63a54e3ea99e56e76350969c
"To overcome the aforementioned limitations, Advanced RAG paradigm focuses on optimizing the retrieval phase, aiming to enhance retrieval efficiency and strengthen the utilization of retrieved chunks. As shown in Figure 1 ,typical strategies involve pre-retrieval processing and post-retrieval processing. For instance, query rewriting is used to make the queries more clear and specific, thereby increasing the accuracy of retrieval [10], and the reranking of retrieval results is employed to enhance the LLM’s ability to identify and utilize key information [11].

I. INTRODUCTION

L ARGE Language Models (LLMs) have demonstrated

they still face numerous challenges, such as hallucination and the lag in information up- dates [1]. Retrieval-augmented Generation (RAG), by access- ing external knowledge bases, provides LLMs with important contextual information, significantly enhancing their perfor- mance on knowledge-intensive tasks [2]. Currently, RAG, as an enhancement method, has been widely applied in various practical application scenarios, including knowledge question answering, recommendation systems, customer service, and personal assistants. [3]–[6]

remarkable capabilities, yet

During the nascent stages of RAG , its core framework is constituted by indexing, retrieval, and generation, a paradigm referred to as Naive RAG [7]. However, as the complexity of tasks and the demands of applications have escalated, the"|research_papers\Modular_RAG_Transforming_RAG_Systems_into_LEGO-lik.pdf|6a831a5f81ee47fa89596f8cb6604c41
"Despite the improvements in the practicality of Advanced RAG, there remains a gap between its capabilities and real- world application requirements. On one hand, as RAG tech- nology advances, user expectations rise, demands continue to evolve, and application settings become more complex. For instance, the integration of heterogeneous data and the new demands for system transparency, control, and maintainability. On the other hand, the growth in application demands has further propelled the evolution of RAG technology.

As shown in Figure 2, to achieve more accurate and efficient task execution, modern RAG systems are progressively inte- grating more sophisticated function, such as organizing more refined index base in the form of knowledge graphs, integrat- ing structured data through query construction methods, and employing fine-tuning techniques to enable encoders to better adapt to domain-specific documents.

Yunfan Gao is with Shanghai Research Institute for Intelligent Autonomous

Systems, Tongji University, Shanghai, 201210, China.

Yun Xiong is with Shanghai Key Laboratory of Data Science, School of

Computer Science, Fudan University, Shanghai, 200438, China.

Meng Wang and Haofen Wang are with College of Design and Innovation, Tongji University, Shanghai, 20092, China. (Corresponding author: Haofen Wang. E-mail: carter.whfcarter@gmail.com)"|research_papers\Modular_RAG_Transforming_RAG_Systems_into_LEGO-lik.pdf|4b57fac878114475b29ebe2a9ef5e418
"In terms of process design, the current RAG system has surpassed the traditional linear retrieval-generation paradigm. Researchers use iterative retrieval [12] to obtain richer con- text, recursive retrieval [13] to handle complex queries, and adaptive retrieval [14] to provide overall autonomy and flex- ibility. This flexibility in the process significantly enhances

1

Fig. 1. Cases of Naive RAG and Advanced RAG.When faced with complex questions, both encounter limitations and struggle to provide satisfactory answers. Despite the fact that Advanced RAG improves retrieval accuracy through hierarchical indexing, pre-retrieval, and post-retrieval processes, these relevant documents have not been used correctly.

the expressive power and adaptability of RAG systems, en- abling them to better adapt to various application scenarios. However, this also makes the orchestration and scheduling of workflows more complex, posing greater challenges to system design. Specifically, RAG currently faces the following new challenges:

Complex data sources integration. RAG are no longer confined to a single type of unstructured text data source but have expanded to include various data types, such as semi- structured data like tables and structured data like knowledge graphs [15]. Access to heterogeneous data from multiple sources can provide the system with a richer knowledge background, and more reliable knowledge verification capa- bilities [16]."|research_papers\Modular_RAG_Transforming_RAG_Systems_into_LEGO-lik.pdf|390384f5ecd94682a9dffe5a5de86cc2
"New demands for system interpretability, controllability,

Fig. 2. Case of current Modular RAG.The system integrates diverse data and more functional components. The process is no longer confined to linear but is controlled by multiple control components for retrieval and generation, making the entire system more flexible and complex.

2

and maintainability. With the increasing complexity of sys- tems, system maintenance and debugging have become more challenging. Additionally, when issues arise, it is essential to quickly pinpoint the specific components that require opti- mization.

Component selection and optimization. More neural net- works are involved in the RAG system, necessitating the selection of appropriate components to meet the needs of spe- cific tasks and resource configurations. Moreover, additional components enhance the effectiveness of RAG but also bring new collaborative work requirements [17]. Ensuring that these models perform as intended and work efficiently together to enhance the overall system performance is crucial.

Workflow orchestration and scheduling. Components may need to be executed in a specific order, processed in paral- lel under certain conditions, or even judged by the LLM based on different outputs. Reasonable planning of the workflow is essential for improving system efficiency and achieving the desired outcomes [18]."|research_papers\Modular_RAG_Transforming_RAG_Systems_into_LEGO-lik.pdf|2e06ccf67ae64a238025242723a09091
To address the design, management, and maintenance chal- lenges posed by the increasing complexity of RAG systems, and to meet the ever-growing and diverse demands and ex- pectations, this paper proposes Modular RAG architecture. In modern computing systems, modularization is becoming a trend. It can enhance the system’s scalability and maintain- ability and achieve efficient task execution through process control.|research_papers\Modular_RAG_Transforming_RAG_Systems_into_LEGO-lik.pdf|316d78ac330a468b84999386879b75a8
"The Modular RAG system consists of multiple independent yet tightly coordinated modules, each responsible for handling specific functions or tasks. This architecture is divided into three levels: the top level focuses on the critical stages of RAG, where each stage is treated as an independent module. This level not only inherits the main processes from the Advanced RAG paradigm but also introduces an orchestration module to control the coordination of RAG processes. The middle level is composed of sub-modules within each module, further refining and optimizing the functions. The bottom level consists of basic units of operation—operators. Within the Modular RAG framework, RAG systems can be represented in the form of computational graphs, where nodes represent specific operators. The comparison of the three paradigms is shown in the Figure 3. Modular RAG evolves based on the previous development of RAG. The relationships among these three paradigms are ones of inheritance and development. Advanced RAG is a special case of Modular RAG, while Naive RAG is a special case of Advanced RAG.

The advantages of Modular RAG are significant, as it enhances the flexibility and scalability of RAG systems. Users can flexibly combine different modules and operators accord- ing to the requirements of data sources and task scenarios. In summary, the contributions of this paper are as follows:"|research_papers\Modular_RAG_Transforming_RAG_Systems_into_LEGO-lik.pdf|af8dcdd956c244f887b23ac3064dd8e9
