node_1|node_2|edge|chunk_id
back pain|neck pain|patient reports experiencing both back and neck pain|ab466248420347bfac6948e914ae3908
pain|acetaminophen|patient mentions taking acetaminophen for pain relief|ab466248420347bfac6948e914ae3908
pain|ibuprofen|patient mentions taking ibuprofen for pain relief|ab466248420347bfac6948e914ae3908
emr data|data quality|lack of regulation in data quality makes EMR data difficult to use in machine learning systems due to incompleteness and inconsistency (Weiskopf and Weng, 2013; Roth et al., 2009)|e4e8b5219b0440568cb8fba939e445c0
physician-patient dialogue|automated clinical note-taking|extracting relevant information directly from physician-patient dialogues can alleviate physicians of tedious data entry and ensures more consistent data quality (Collier, 2017)|e4e8b5219b0440568cb8fba939e445c0
previous studies|machine learning systems|have shown that EMR data are difficult to use in machine learning systems due to the lack of regulation in data quality - Weiskopf and Weng (2013), Roth et al. (2009)|e4e8b5219b0440568cb8fba939e445c0
tf-idf|text classification| tf-idf is a statistical method used for text classification.|dd6ada34f21948aa8439265a3a939b66
existing work|patient-physician dialogues| Existing work employs more sophisticated NLP techniques to patient-physician dialogues.|dd6ada34f21948aa8439265a3a939b66
deep learning|black-box nature| Most physicians are reluctant to rely on opaque, AI-based medical technology due to its black-box nature involving patient well-being.|dd6ada34f21948aa8439265a3a939b66
information extraction|automatic diagnostic systems| There is increasing interest in using information extraction techniques in automatic diagnostic systems due to the potential in reducing costs associated with collecting patient information and diagnostic errors.|dd6ada34f21948aa8439265a3a939b66
je-blee et al.|clinical conversations| Je-blee et al. Introduced a system that extracts pertinent medical information from clinical conversations for automatic note taking and diagnosis, but their methodology did not explore state-of-the-art NLP techniques, and entity extraction was done by searching the transcript for entities from medical lexicons.|dd6ada34f21948aa8439265a3a939b66
doctor xavier|bert-based diagnostic system|Doctor XAvIer is a BERT-based diagnostic system that extracts relevant clinical data from transcribed patient-doctor dialogues.|bd2599f2863d46708b1e43460b2f872e
transcribed patient-doctor dialogues|doctor xavier|Doctor XAvIer extracts relevant clinical data from transcribed patient-doctor dialogues.|bd2599f2863d46708b1e43460b2f872e
feature attribution methods|doctor xavier|Doctor XAvIer presents feature attribution methods for explaining predictions.|bd2599f2863d46708b1e43460b2f872e
bert-based diagnostic system|rel-evant clinical data|Doctor XAvIer extracts rel-evant clinical data from transcribed patient-doctor dialogues.|bd2599f2863d46708b1e43460b2f872e
transcribed patient-doctor dialogues|relevant clinical data|Relevant clinical data is extracted from transcribed patient-doctor dialogues.|bd2599f2863d46708b1e43460b2f872e
